Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.39737,27.66965,27.90611,28.1587,28.42373,28.63404,28.87068
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.39601,27.6954,27.98902,28.19066,28.30161,28.36371,28.41921
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.39165261,27.68283021,27.88789703,28.13360537,28.32931479,28.45163501,28.56625741
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.39165261,27.65748346,27.87100737,28.14165923,28.40242171,28.66218705,28.96584283
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.39165261,27.65748346,27.87100737,28.13021149,28.3752668,28.51349614,28.620136
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.39165261,27.65748346,27.87100737,28.13787096,28.4004087,28.63297689,28.87022672
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.39165261,27.79071678,28.03018236,28.25463935,28.33514073,28.32309562,28.29823402
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.39165261,27.65473778,27.87489099,28.13680963,28.38054385,28.56573381,28.77489836
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.39165261,27.68655371,27.89579917,28.10557528,28.2170018,28.25056968,28.2964751
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Below 2°C,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0003,0.022,0.0643,0.1015,0.1209
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Current Policies (Hot house world scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0002,0.0009,0.0021,0.0034,0.0042
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Delayed Transition (Disorderly scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0002,0.0028,0.0137,0.0129,0.0164
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Fragmented World,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0002,0.0006,0.0008,0.0013,0.002
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Low Demand,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0005,0.1099,0.1993,0.2093,0.3748
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Nationally Determined Contributions (NDCs),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0002,0.0006,0.0018,0.0039,0.0076
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0045,0.1188,0.2038,0.2181,0.3575
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Below 2°C,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0,0.0039,0.0108,0.037,0.038
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0,0.0044,0.0202,0.0382,0.0734
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Fragmented World,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0533
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Low Demand,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0036,0.0158,0.0564,0.1177,0.1201
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0076,0.0302,0.0684,0.4313,0.8007
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Below 2°C,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0004,0.0012,0.0024,0.008,0.0167
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Current Policies (Hot house world scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0,0.0,0.0007,0.0038,0.0074
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Fragmented World,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Low Demand,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0001,0.0005,0.0023,0.006,0.0103
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuwait,KW,KWT,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0003,0.0151,0.0882,0.2605,0.4418,0.5562
